asset,window_size,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
XLK,200,2000-04-27,0.08,0.013168954623812193,False,199,1
XLK,200,2000-06-27,0.02,0.0037924003782822705,False,199,1
XLK,200,2000-08-25,0.0,0.0,False,199,4
XLK,200,2000-10-25,0.03,0.005604539272599118,False,199,1
XLK,200,2000-12-26,0.035,0.0070531007474918675,False,199,3
XLK,200,2001-02-27,0.005,0.0012487506842669617,False,199,3
XLK,200,2001-04-27,0.0,0.0,False,199,3
XLK,200,2001-06-27,0.0,0.0,False,199,4
XLK,200,2001-08-27,0.005,-0.0007320082353686533,False,199,4
XLK,200,2001-10-31,0.0,0.0,False,199,5
XLK,200,2002-01-02,0.0,0.0,False,199,1
XLK,200,2002-03-05,0.0,0.0,False,199,5
XLK,200,2002-05-03,0.06,-0.008460685280572249,False,199,5
XLK,200,2002-07-03,0.07,-0.009971564881555562,False,199,2
XLK,200,2002-09-03,0.015,-0.0020901879183508726,False,199,1
XLK,200,2002-10-31,0.24,-0.049560984212269794,False,199,1
XLK,200,2003-01-02,0.05,-0.012148505731489173,False,199,1
XLK,200,2003-03-05,0.015,-0.0036840289853870365,False,199,5
XLK,200,2003-05-05,0.065,-0.015546717366856111,False,199,5
XLK,200,2003-07-03,0.005,0.0007320160075083986,False,199,4
XLK,200,2003-09-03,0.01,0.00218348474140662,False,199,5
XLK,200,2003-10-31,0.005,-0.0010714468739131714,False,199,1
XLK,200,2004-01-02,0.0,0.0,False,199,2
XLK,200,2004-03-04,0.025,-0.004969724459792923,False,199,3
XLK,200,2004-05-04,0.035,-0.007644056105146596,False,199,4
XLK,200,2004-07-06,0.03,-0.007199442843314177,False,199,4
XLK,200,2004-09-02,0.095,-0.02540216645624778,False,199,5
XLK,200,2004-11-02,0.0,0.0,False,199,5
XLK,200,2005-01-03,0.005,0.0011056865769091795,False,199,5
XLK,200,2005-03-04,0.01,-0.002277863577754403,False,199,5
XLK,200,2005-05-04,0.0,0.0,False,199,1
XLK,200,2005-07-05,0.035,-0.007076755053387338,False,199,1
XLK,200,2005-09-01,0.01,-0.0036326719345592786,False,199,5
XLK,200,2005-11-01,0.035,-0.010468289807772155,False,199,5
XLK,200,2006-01-03,0.05,-0.007581416046609857,False,199,1
XLK,200,2006-03-06,0.03,-0.00438292165802108,False,199,2
XLK,200,2006-05-04,0.035,-0.00589773642577494,False,199,5
