asset,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
SPY,2025-03-24 15:30:00-04:00,0.0,0.0,False,699,3
SPY,2025-04-22 15:30:00-04:00,0.0,0.0,False,699,1
SPY,2025-05-20 15:30:00-04:00,0.0,0.0,False,699,5
SPY,2025-06-18 15:30:00-04:00,0.0,0.0,False,699,5
SPY,2025-07-21 12:30:00-04:00,0.0,0.0,False,699,4
SPY,2025-08-18 12:30:00-04:00,0.0,0.0,False,699,4
SPY,2025-09-16 12:30:00-04:00,0.005,0.0005214714777643536,False,700,4
SPY,2025-10-14 12:30:00-04:00,0.005,0.0005994017784577839,False,699,2
SPY,2025-11-11 12:30:00-05:00,0.01,0.0008122554023841466,False,699,5
SPY,2025-12-11 09:30:00-05:00,0.005,0.0005604814689198898,False,699,5
SPY,2026-01-12 13:30:00-05:00,0.01,0.0007613428705055514,False,699,5
SPY,2026-02-12 09:30:00-05:00,0.0,0.0,False,699,5
SPY,2026-03-13 09:30:00-04:00,0.005,0.0005174968069664028,False,699,5
SPY,2026-04-13 09:30:00-04:00,0.0,0.0,False,699,2
SPY,2026-05-11 09:30:00-04:00,0.015,0.0016266174130232956,False,699,2
SPY,2026-06-09 09:30:00-04:00,0.005,-0.00045050720647368337,False,699,5
SPY,2026-07-09 09:30:00-04:00,0.01,-0.00010294133924082787,False,699,4
SPY,2026-08-06 09:30:00-04:00,0.01,-0.00025003282217657386,False,699,4
SPY,2026-09-03 09:30:00-04:00,0.035,-0.0034107441039187346,False,699,4
QQQ,2025-03-24 15:30:00-04:00,0.0,0.0,False,699,4
QQQ,2025-04-22 15:30:00-04:00,0.0,0.0,False,699,5
QQQ,2025-05-20 15:30:00-04:00,0.0,0.0,False,699,4
QQQ,2025-06-18 15:30:00-04:00,0.0,0.0,False,699,4
QQQ,2025-07-21 12:30:00-04:00,0.0,0.0,False,699,3
QQQ,2025-08-18 12:30:00-04:00,0.0,0.0,False,699,5
QQQ,2025-09-19 11:30:00-04:00,0.005,0.0005893123584770708,False,700,5
QQQ,2025-10-17 11:30:00-04:00,0.0,0.0,False,699,4
QQQ,2025-11-19 10:30:00-05:00,0.005,0.0007452563397718514,False,699,1
QQQ,2026-01-08 12:30:00-05:00,0.0,0.0,False,699,1
QQQ,2026-03-09 15:30:00-04:00,0.0,0.0,False,699,2
QQQ,2026-04-13 13:30:00-04:00,0.025,-0.003027713482795309,False,700,3
QQQ,2026-05-11 13:30:00-04:00,0.005,-0.000596462535402605,False,699,2
QQQ,2026-06-09 13:30:00-04:00,0.0,0.0,False,700,3
QQQ,2026-07-09 13:30:00-04:00,0.005,-0.0006340764266122583,False,699,2
QQQ,2026-08-06 13:30:00-04:00,0.0,0.0,False,699,3
QQQ,2026-09-03 13:30:00-04:00,0.0,0.0,False,699,5
IWM,2025-03-27 14:30:00-04:00,0.0,0.0,False,700,2
IWM,2025-04-25 14:30:00-04:00,0.0,0.0,False,699,5
IWM,2025-05-23 14:30:00-04:00,0.0,0.0,False,699,4
IWM,2025-06-24 14:30:00-04:00,0.0,0.0,False,699,4
IWM,2025-07-24 11:30:00-04:00,0.0,0.0,False,699,4
IWM,2025-08-21 11:30:00-04:00,0.0,0.0,False,699,4
IWM,2025-09-19 11:30:00-04:00,0.0,0.0,False,700,2
IWM,2025-10-17 11:30:00-04:00,0.0,0.0,False,699,4
IWM,2025-11-14 11:30:00-05:00,0.045,-0.005749898836312337,False,700,5
IWM,2025-12-15 15:30:00-05:00,0.095,-0.011387367699026554,False,699,1
IWM,2026-01-15 12:30:00-05:00,0.025,-0.0027430002373438956,False,699,3
IWM,2026-02-17 15:30:00-05:00,0.005,-0.0006449755581761021,False,699,2
IWM,2026-03-17 15:30:00-04:00,0.025,0.0013531142287687128,False,699,4
IWM,2026-04-15 15:30:00-04:00,0.055,0.006127734884782254,False,699,5
IWM,2026-05-13 15:30:00-04:00,0.005,0.0003840429701406946,False,699,5
IWM,2026-06-11 15:30:00-04:00,0.005,0.0005350175014333546,False,699,5
IWM,2026-07-13 15:30:00-04:00,0.025,0.00274088095817963,False,699,1
IWM,2026-08-10 15:30:00-04:00,0.0,0.0,False,699,1
IWM,2026-09-08 15:30:00-04:00,0.0,0.0,False,699,1
XLU,2025-03-24 15:30:00-04:00,0.025,-0.0017003375089320967,False,700,1
XLU,2025-04-22 15:30:00-04:00,0.01,-0.0009306348036686936,False,699,4
XLU,2025-05-20 15:30:00-04:00,0.0,0.0,False,699,5
XLU,2025-06-18 15:30:00-04:00,0.0,0.0,False,699,5
XLU,2025-07-21 12:30:00-04:00,0.01,-0.0009591983086707148,False,699,4
XLU,2025-08-18 12:30:00-04:00,0.005,-0.00040715159285202915,False,699,5
XLU,2025-09-16 12:30:00-04:00,0.04,-0.00472364438995174,False,699,1
XLU,2025-10-14 12:30:00-04:00,0.01,-0.0012227877226612689,False,700,5
