peak_date,trough_date,drawdown,duration,delta_pe,pe_pre_peak,vol_pre_peak,decade,type
1929-09-16,1929-11-13,-0.44569995263357787,58,0.00020868992706468692,0.9597819472567698,0.011164394951172713,1920,crash
1930-09-18,1931-09-18,-0.4558404402298419,365,0.04832802922729984,0.981008180751714,0.015373647566129734,1930,crash
1931-11-09,1932-06-01,-0.618055562454241,205,0.025883591460990507,0.9871438189081475,0.0346264639864144,1930,crash
1932-11-11,1933-02-27,-0.27994787325345194,108,0.03687062680453712,0.9856400054061669,0.040426393659455516,1930,crash
1933-07-18,1933-10-19,-0.29426231218966986,93,0.015338985749871581,0.9926793382726603,0.02838196656639186,1930,crash
1935-01-07,1935-03-14,-0.15866383258814667,66,0.019745685654743217,0.9942377630888488,0.012288672204693218,1930,crash
1936-11-09,1936-12-21,-0.058790326971731026,42,0.022095095757219352,0.9894895050234442,0.01479629102795824,1930,pullback
1937-03-10,1937-11-24,-0.4552758417388971,259,0.036251342477843784,0.9683250142218588,0.009059023192447835,1930,crash
1938-07-25,1938-09-27,-0.14140628067543684,64,0.02369685074341621,0.9828553244691131,0.018947419831404355,1930,pullback
1938-10-10,1939-04-11,-0.2508986203739939,183,0.03674377645648741,0.9829955837032335,0.02317984246948073,1930,crash
1939-10-25,1940-06-10,-0.31945497765651537,229,0.03243784295293339,0.9779477115790319,0.020818909518089984,1930,crash
1940-11-07,1941-11-12,-0.18700615015254182,370,0.009333492052127967,0.9577293520585434,0.013363840138027076,1940,crash
1941-11-24,1942-04-28,-0.20531913900655946,155,0.03915726307185463,0.9874212239440505,0.007602816161460945,1940,crash
1943-07-14,1943-11-29,-0.13053801640727203,138,0.01717194443054737,0.9671745982379808,0.006873900215000212,1940,pullback
1944-07-10,1944-09-14,-0.06932931760041465,66,0.017944191400667386,0.9779906598314388,0.0057015753473418284,1940,pullback
1945-06-26,1945-07-26,-0.06441117621922174,30,0.0013976147064547195,0.9688493504121222,0.0059843023415348355,1940,pullback
1946-05-29,1947-05-19,-0.28467530089539367,355,0.046896966687451136,0.9791429316595958,0.007793363436452299,1940,crash
1947-07-24,1948-03-16,-0.1414392411876534,236,0.034761472460139275,0.9623801502108437,0.00965043848297709,1940,pullback
1948-06-15,1949-06-13,-0.20574439537437755,363,0.058435057989098094,0.9848144513291278,0.006959019191350914,1940,crash
1950-06-12,1950-07-17,-0.14020615292983996,35,0.011516932056436113,0.9842361427961225,0.00580075998710316,1950,pullback
1951-05-03,1951-06-29,-0.0811047972285998,57,0.04317064116276159,0.9724270614229218,0.0062904621375805825,1950,pullback
1951-10-15,1951-11-23,-0.060796676718966935,39,0.02314533496291693,0.9843298670517854,0.005012282816200109,1950,pullback
