pe_window,subset_upper_pct,n,n_pullback,n_crash,beta_all,p_all,beta_pullback,p_pullback,beta_crash,p_crash,r2_all
75,25,68,51,17,0.09859253225223025,0.018299736253455483,0.18668256418027657,0.034706744242371704,0.3455792727334599,0.06880169718817941,0.07971186254036644
75,30,78,51,27,0.05701711647857054,0.014978140864056971,0.18668256418027657,0.034706744242371704,0.03585200761125695,0.6429891864768059,0.05408657192516797
75,35,82,51,31,0.03578862391287753,0.05673517875503135,0.18668256418027657,0.034706744242371704,-0.013121528511497556,0.8025684794445221,0.028922891700563502
75,40,84,51,33,0.023756225997394798,0.16338712291455526,0.18668256418027657,0.034706744242371704,-0.032894994978814866,0.44339562585452574,0.015036325587015176
75,0,88,51,37,0.02542397027717545,0.014536395234281317,0.18668256418027657,0.034706744242371704,0.008468448835498174,0.7240952874571158,0.02940902851674232
100,25,68,51,17,0.08195002900061678,0.010798807106456778,0.11304404747671787,0.0953665393536964,0.1990930259314313,0.30610177122785776,0.0963011757314437
100,30,78,51,27,0.04948301478783455,0.0328686535912453,0.11304404747671787,0.0953665393536964,0.012860772509810891,0.8722538173166899,0.06501073837604066
100,35,82,51,31,0.027479486217533593,0.13933082533383212,0.11304404747671787,0.0953665393536964,-0.03602091517457084,0.4545252217624234,0.02697927749878326
100,40,84,51,33,0.022818049753254348,0.1500398054805943,0.11304404747671787,0.0953665393536964,-0.03219406411137945,0.39868418968668107,0.021972063011603815
100,0,88,51,37,0.018870963371259587,0.10563514505485172,0.11304404747671787,0.0953665393536964,-0.00678344365020821,0.7339512530033878,0.025398791200423432
120,25,68,51,17,0.07029103036830703,0.0027575333031465343,0.0751893396501722,0.2770200136005684,0.28033934779439745,0.022549966593600715,0.0933086339647834
120,30,78,51,27,0.04263243899766854,0.03504047222666673,0.0751893396501722,0.2770200136005684,0.023193050430620706,0.7423868173455603,0.062412649957212296
120,35,82,51,31,0.025139975017880845,0.11685173383584006,0.0751893396501722,0.2770200136005684,-0.020658569948582155,0.6139749871308797,0.029269049548553583
120,40,84,51,33,0.020109181306712343,0.1318623912422436,0.0751893396501722,0.2770200136005684,-0.023115939888760702,0.43153519874507373,0.02227871253011149
120,0,88,51,37,0.01778248883126769,0.07662829903891658,0.0751893396501722,0.2770200136005684,-0.0021395223177788315,0.8970981441316949,0.02929695950015998
140,25,68,51,17,0.06588251071792392,0.0006877914181059123,0.07752243762536878,0.24564356779597518,0.3008700628967711,0.007732294742596043,0.09570320527133336
140,30,78,51,27,0.035661927959550505,0.018376888239620862,0.07752243762536878,0.24564356779597518,0.01690217052211462,0.7465624769703456,0.05537920991246914
140,35,82,51,31,0.020570429150290163,0.10435718827098862,0.07752243762536878,0.24564356779597518,-0.019422833430633446,0.5614174198970535,0.02482602149946278
140,40,84,51,33,0.01803215189945026,0.08671958869642332,0.07752243762536878,0.24564356779597518,-0.01586485671309001,0.5199617414338773,0.022697253739054624
140,0,88,51,37,0.018623054518497613,0.044064527608461225,0.07752243762536878,0.24564356779597518,0.005459743513211985,0.7416783245086542,0.03980793449854547
160,25,68,51,17,0.05190010977503763,0.0013638131868866604,0.0564764085396858,0.28887107814598,0.22666969408470927,0.013616923665578488,0.08657951890542848
160,30,78,51,27,0.02592337937949039,0.031694584928944225,0.0564764085396858,0.28887107814598,0.0035048966197094534,0.9304537890292375,0.04366444556058913
160,35,82,51,31,0.013025945862516975,0.20968417692887653,0.0564764085396858,0.28887107814598,-0.025268665546465383,0.33986025545398213,0.014793426660336784
160,40,84,51,33,0.014743455962424015,0.09798107068651773,0.0564764085396858,0.28887107814598,-0.010024219266881912,0.6455966098443822,0.022336971216261325
160,0,88,51,37,0.017625747023079036,0.027296843787354544,0.0564764085396858,0.28887107814598,0.010333322100740958,0.47310251019616545,0.05127321896346415
180,25,68,51,17,0.052046132305942266,0.00018033263137431305,0.07937679975330882,0.0531015932392009,0.1637390793327268,0.038321062910499006,0.10805515781558894
180,30,78,51,27,0.024173103111889728,0.03181437129620302,0.07937679975330882,0.0531015932392009,-0.005229668053658874,0.8776212425814871,0.04703804122605426
180,35,82,51,31,0.009633063446091517,0.3497231324862523,0.07937679975330882,0.0531015932392009,-0.03468438730589833,0.13357555818080571,0.009868128528723541
180,40,84,51,33,0.014488985567099629,0.13339305348577624,0.07937679975330882,0.0531015932392009,-0.008264299611050869,0.7300717192790804,0.025651286070081714
180,0,88,51,37,0.016845655124415465,0.013799016183839077,0.07937679975330882,0.0531015932392009,0.010883951088422163,0.2978042473418938,0.05679470517783891
