episodio,ticker,sector,pe_pre,pe_min,caida,fecha_min,drawdown_precio
dot-com,XLK,Tecnología,0.98992,0.95823,0.0317,2001-01-05,-0.8205
dot-com,XLE,Energía,0.99221,0.97876,0.01345,2001-02-06,-0.4153
dot-com,XLV,Salud,0.99203,0.97949,0.01255,2002-01-22,-0.298
dot-com,XLF,Financiero,0.99136,0.97669,0.01467,2002-05-13,-0.3664
dot-com,XLP,Consumo básico,0.9974,0.97187,0.02553,2001-10-03,-0.3287
dot-com,XLY,Consumo discrecional,0.98528,0.96435,0.02093,2001-09-21,-0.3154
dot-com,XLI,Industrial,0.97793,0.97835,-0.00042,2001-09-27,-0.4352
dot-com,XLU,Utilities,0.99424,0.97738,0.01686,2001-09-06,-0.5227
dot-com,XLB,Materiales,0.9892,0.98176,0.00744,2002-07-05,-0.3115
dot-com,SPY,S&P 500 (referencia),0.98796,0.9607,0.02726,2003-01-22,-0.4752
crisis-2008,XLK,Tecnología,0.98386,0.9853,-0.00144,2007-10-11,-0.5304
crisis-2008,XLE,Energía,0.97998,0.97243,0.00755,2009-03-03,-0.5736
crisis-2008,XLV,Salud,0.98785,0.97459,0.01326,2009-06-15,-0.3917
crisis-2008,XLF,Financiero,0.99413,0.97861,0.01552,2009-08-28,-0.818
crisis-2008,XLP,Consumo básico,0.99861,0.97354,0.02507,2008-03-11,-0.3239
crisis-2008,XLY,Consumo discrecional,0.98302,0.98491,-0.00189,2007-10-30,-0.5657
crisis-2008,XLI,Industrial,0.98614,0.98058,0.00556,2007-10-17,-0.6226
crisis-2008,XLU,Utilities,0.99384,0.98219,0.01165,2008-12-04,-0.4648
crisis-2008,XLB,Materiales,0.98911,0.98117,0.00794,2009-01-15,-0.5982
crisis-2008,SPY,S&P 500 (referencia),0.99033,0.98826,0.00207,2009-01-02,-0.5519
covid,XLK,Tecnología,0.99278,0.97087,0.02191,2020-09-17,-0.3115
covid,XLE,Energía,0.99773,0.99178,0.00594,2020-04-30,-0.5628
covid,XLV,Salud,0.99634,0.97326,0.02308,2020-09-11,-0.2793
covid,XLF,Financiero,0.99679,0.98404,0.01274,2020-06-12,-0.4279
covid,XLP,Consumo básico,0.99563,0.98647,0.00916,2020-05-07,-0.2435
covid,XLY,Consumo discrecional,0.99024,0.9878,0.00244,2020-09-11,-0.3391
covid,XLI,Industrial,0.99119,0.98668,0.00452,2020-08-20,-0.4158
covid,XLU,Utilities,0.99167,0.98117,0.0105,2020-08-06,-0.3559
covid,XLB,Materiales,0.98722,0.97835,0.00888,2020-09-11,-0.3631
covid,XLRE,Real Estate,0.99763,0.98461,0.01302,2020-07-17,-0.3882
covid,XLC,Comunicaciones,0.99027,0.98204,0.00823,2020-09-11,-0.3015
covid,SPY,S&P 500 (referencia),0.99617,0.98,0.01617,2020-09-11,-0.3372
tasas-2022,XLK,Tecnología,0.99422,0.98023,0.01399,2022-11-09,-0.3313
tasas-2022,XLE,Energía,0.9931,0.98372,0.00938,2022-02-23,-0.2604
tasas-2022,XLV,Salud,0.99656,0.98538,0.01118,2022-04-27,-0.1606
tasas-2022,XLF,Financiero,0.99475,0.9809,0.01385,2022-11-09,-0.2581
tasas-2022,XLP,Consumo básico,0.9875,0.98336,0.00413,2022-05-27,-0.163
tasas-2022,XLY,Consumo discrecional,0.98058,0.9724,0.00818,2022-02-28,-0.3589
tasas-2022,XLI,Industrial,0.99109,0.97549,0.0156,2022-01-18,-0.2164
tasas-2022,XLU,Utilities,0.99172,0.98587,0.00585,2022-07-22,-0.2072
tasas-2022,XLB,Materiales,0.99588,0.98268,0.0132,2022-04-28,-0.2472
tasas-2022,XLRE,Real Estate,0.98722,0.95472,0.0325,2022-08-29,-0.3224
tasas-2022,XLC,Comunicaciones,0.99755,0.99367,0.00387,2023-01-27,-0.3868
tasas-2022,SPY,S&P 500 (referencia),0.99313,0.97967,0.01346,2022-10-13,-0.245
