episodio,ticker,sector,pe_pre,pe_min,caida,fecha_min,drawdown_precio
dot-com,us,Estados Unidos,0.99326,0.96913,0.02413,2003-02-21,-0.4915
dot-com,japon,Japón,0.99068,0.97372,0.01697,2001-07-23,-0.5901
dot-com,uk,Reino Unido,0.99287,0.98105,0.01181,2002-11-04,-0.46
dot-com,hongkong,Hong Kong,0.98857,0.97487,0.0137,2000-04-05,-0.512
dot-com,alemania,Alemania,0.99413,0.98104,0.01309,2000-10-06,-0.6725
dot-com,australia,Australia,0.99262,0.98379,0.00884,2001-04-10,-0.1672
dot-com,brasil,Brasil,0.98952,0.97426,0.01525,2000-05-10,-0.545
dot-com,china,China,0.99599,0.97812,0.01786,2000-09-25,-0.3941
dot-com,india,India,0.99261,0.97245,0.02015,2002-09-13,-0.5308
crisis-2008,us,Estados Unidos,0.9834,0.97937,0.00403,2007-11-27,-0.5678
crisis-2008,japon,Japón,0.98602,0.98423,0.00179,2009-04-28,-0.5941
crisis-2008,uk,Reino Unido,0.99825,0.98485,0.0134,2008-02-26,-0.4782
crisis-2008,hongkong,Hong Kong,0.99149,0.98018,0.01131,2009-04-01,-0.6518
crisis-2008,alemania,Alemania,0.99556,0.97938,0.01618,2008-06-26,-0.546
crisis-2008,australia,Australia,0.97605,0.9706,0.00546,2008-10-15,-0.5394
crisis-2008,brasil,Brasil,0.99833,0.98268,0.01565,2008-12-15,-0.5996
crisis-2008,china,China,0.98769,0.97563,0.01207,2009-06-25,-0.7198
crisis-2008,india,India,0.98078,0.98329,-0.00251,2009-07-28,-0.6091
covid,us,Estados Unidos,0.99692,0.98044,0.01647,2020-09-11,-0.3392
covid,japon,Japón,0.99809,0.99425,0.00383,2020-09-16,-0.295
covid,uk,Reino Unido,0.98542,0.9831,0.00232,2020-02-19,-0.3303
covid,hongkong,Hong Kong,0.99427,0.97709,0.01718,2020-09-07,-0.2155
covid,alemania,Alemania,0.99096,0.97933,0.01163,2020-09-28,-0.3878
covid,australia,Australia,0.99269,0.98024,0.01244,2020-05-29,-0.3653
covid,brasil,Brasil,0.99111,0.9888,0.00232,2020-09-17,-0.4544
covid,china,China,0.99485,0.9805,0.01435,2020-06-22,-0.134
covid,india,India,0.93714,0.93092,0.00623,2020-02-27,-0.3713
tasas-2022,us,Estados Unidos,0.98849,0.97721,0.01128,2022-10-13,-0.2543
tasas-2022,japon,Japón,0.99517,0.98367,0.0115,2023-02-09,-0.1573
tasas-2022,uk,Reino Unido,0.9949,0.96105,0.03384,2022-04-08,-0.1103
tasas-2022,hongkong,Hong Kong,0.99784,0.98471,0.01313,2022-09-21,-0.331
tasas-2022,alemania,Alemania,0.98881,0.98335,0.00545,2022-09-16,-0.264
tasas-2022,australia,Australia,0.99027,0.98625,0.00402,2022-05-09,-0.1527
tasas-2022,brasil,Brasil,0.9815,0.97573,0.00578,2022-01-03,-0.2093
tasas-2022,china,China,0.99122,0.9848,0.00642,2022-08-15,-0.2054
tasas-2022,india,India,0.98878,0.97236,0.01642,2023-04-13,-0.1623
china-2015 (local),us,Estados Unidos,0.99642,0.97789,0.01853,2015-10-30,-0.1264
china-2015 (local),japon,Japón,0.99647,0.96087,0.0356,2016-04-05,-0.2324
china-2015 (local),uk,Reino Unido,0.98694,0.97627,0.01068,2015-08-03,-0.1711
china-2015 (local),hongkong,Hong Kong,0.99504,0.98825,0.00679,2016-04-25,-0.3234
china-2015 (local),alemania,Alemania,0.99256,0.98653,0.00604,2016-07-27,-0.1997
china-2015 (local),australia,Australia,0.99449,0.98162,0.01287,2015-07-06,-0.1516
china-2015 (local),brasil,Brasil,0.99719,0.98832,0.00887,2016-03-03,-0.3087
china-2015 (local),china,China,0.99486,0.98358,0.01128,2016-01-05,-0.486
china-2015 (local),india,India,0.98294,0.96947,0.01347,2016-02-05,-0.1594
