time,pe,lo,hi,n
09:30,0.99756,0.99578,0.99867,6581
09:35,0.99875,0.99734,0.99945,6561
09:40,0.99839,0.997,0.99916,6562
09:45,0.99784,0.99605,0.99884,6545
09:50,0.99849,0.99704,0.99931,6532
09:55,0.99703,0.99507,0.99833,6504
10:00,0.99892,0.99771,0.99949,6520
10:05,0.99933,0.99821,0.99975,6524
10:10,0.99872,0.99727,0.99949,6508
10:15,0.99914,0.99788,0.99966,6535
10:20,0.99699,0.99503,0.99829,6477
10:25,0.99722,0.99532,0.99848,6518
10:30,0.9967,0.99453,0.9981,6489
10:35,0.99918,0.99795,0.99968,6466
10:40,0.9973,0.99549,0.99844,6470
10:45,0.99675,0.99476,0.99807,6450
10:50,0.99764,0.99582,0.99868,6472
10:55,0.99837,0.99684,0.99925,6456
11:00,0.9976,0.99586,0.99867,6477
11:05,0.99748,0.9956,0.99862,6411
11:10,0.99698,0.99497,0.99825,6405
11:15,0.99579,0.9934,0.99744,6394
11:20,0.99553,0.99302,0.99715,6405
11:25,0.99709,0.99507,0.99833,6392
11:30,0.99628,0.99405,0.99771,6410
11:35,0.99519,0.99272,0.99695,6357
11:40,0.99633,0.99406,0.99777,6336
11:45,0.99617,0.99377,0.9978,6306
11:50,0.99716,0.99516,0.99841,6329
11:55,0.99743,0.99552,0.99862,6311
12:00,0.9961,0.99391,0.99767,6333
12:05,0.99666,0.99461,0.99805,6343
12:10,0.99644,0.99423,0.99783,6258
12:15,0.99561,0.99333,0.99727,6274
12:20,0.99507,0.99259,0.99683,6251
12:25,0.9949,0.99258,0.99664,6239
12:30,0.99593,0.99354,0.99742,6246
12:35,0.99601,0.99361,0.99755,6208
12:40,0.99619,0.99388,0.99777,6257
12:45,0.99579,0.9935,0.99733,6216
12:50,0.99548,0.99292,0.99719,6211
12:55,0.99557,0.99322,0.99722,6213
13:00,0.99533,0.99292,0.99703,6296
13:05,0.99672,0.99466,0.99812,6218
13:10,0.99415,0.99159,0.99601,6230
13:15,0.99762,0.99567,0.99871,6231
13:20,0.99553,0.99303,0.99727,6254
13:25,0.99553,0.99329,0.99727,6176
13:30,0.9966,0.9944,0.99806,6217
13:35,0.99682,0.9947,0.99813,6217
13:40,0.99423,0.99149,0.99615,6230
13:45,0.99656,0.99448,0.99799,6251
13:50,0.99492,0.99243,0.99663,6227
13:55,0.99553,0.99323,0.99717,6220
14:00,0.99683,0.99479,0.99817,6327
14:05,0.99643,0.99415,0.99778,6281
14:10,0.99487,0.99219,0.99667,6304
14:15,0.99611,0.99371,0.99769,6285
14:20,0.99554,0.99322,0.99724,6305
14:25,0.99713,0.99522,0.99837,6310
14:30,0.99496,0.99251,0.99659,6323
14:35,0.99737,0.99556,0.99851,6339
14:40,0.99504,0.99256,0.99675,6271
14:45,0.99759,0.99582,0.99872,6284
14:50,0.99688,0.99476,0.99816,6279
14:55,0.9959,0.9935,0.99738,6304
15:00,0.99602,0.99363,0.9976,6389
15:05,0.99764,0.99585,0.99873,6376
15:10,0.99718,0.99524,0.99834,6326
15:15,0.99723,0.99535,0.99842,6363
15:20,0.99652,0.9945,0.99793,6361
15:25,0.99677,0.99465,0.99809,6365
15:30,0.99814,0.99653,0.99904,6435
15:35,0.99794,0.99628,0.99891,6427
15:40,0.99709,0.99511,0.99839,6412
15:45,0.99776,0.99603,0.99883,6432
15:50,0.99811,0.99643,0.9991,6433
15:55,0.99488,0.99258,0.99644,6499
