time,pe,lo,hi,n
09:30,0.99509,0.99187,0.99586,3257
09:35,0.99662,0.9936,0.99706,3242
09:40,0.99752,0.99472,0.99773,3237
09:45,0.99606,0.99302,0.99666,3215
09:50,0.99653,0.99358,0.99704,3209
09:55,0.99573,0.99254,0.99639,3177
10:00,0.99695,0.994,0.99733,3199
10:05,0.99769,0.99497,0.99784,3209
10:10,0.99682,0.9939,0.99727,3181
10:15,0.99812,0.99562,0.99821,3214
10:20,0.99583,0.99272,0.99647,3168
10:25,0.99644,0.99334,0.99699,3198
10:30,0.9955,0.99232,0.9961,3173
10:35,0.99771,0.99493,0.99794,3164
10:40,0.99653,0.99345,0.99695,3156
10:45,0.99624,0.99316,0.99674,3143
10:50,0.99681,0.99384,0.99719,3140
10:55,0.99723,0.99435,0.99749,3137
11:00,0.99599,0.9929,0.99649,3155
11:05,0.99546,0.99219,0.99616,3105
11:10,0.99595,0.99282,0.99654,3098
11:15,0.99483,0.9914,0.99564,3080
11:20,0.99412,0.99051,0.99507,3103
11:25,0.99557,0.99232,0.99621,3097
11:30,0.99475,0.99135,0.99561,3093
11:35,0.99443,0.99094,0.9952,3047
11:40,0.9948,0.9915,0.99569,3041
11:45,0.99456,0.99096,0.99538,3014
11:50,0.996,0.99262,0.99649,3031
11:55,0.99449,0.99087,0.99541,3026
12:00,0.99525,0.99171,0.99594,3022
12:05,0.99537,0.99201,0.99605,3024
12:10,0.99436,0.99095,0.99519,2970
12:15,0.99475,0.99107,0.9956,2972
12:20,0.9931,0.98924,0.99418,2954
12:25,0.9939,0.99025,0.99477,2954
12:30,0.99432,0.99073,0.99521,2979
12:35,0.99454,0.99094,0.99532,2962
12:40,0.99461,0.99107,0.99545,2947
12:45,0.9941,0.99049,0.99507,2952
12:50,0.99411,0.99039,0.995,2936
12:55,0.99382,0.99013,0.99472,2925
13:00,0.99326,0.98941,0.99441,2999
13:05,0.99527,0.99189,0.99595,2936
13:10,0.99263,0.98871,0.9939,2933
13:15,0.99535,0.99184,0.99614,2939
13:20,0.99362,0.98975,0.99475,2954
13:25,0.99439,0.99066,0.99528,2889
13:30,0.99584,0.99252,0.99637,2946
13:35,0.99496,0.99147,0.99574,2937
13:40,0.99389,0.99004,0.99483,2941
13:45,0.99413,0.99054,0.99501,2962
13:50,0.99192,0.98775,0.99329,2949
13:55,0.99336,0.98973,0.99452,2931
14:00,0.99484,0.99144,0.99565,3027
14:05,0.99499,0.99146,0.99583,3004
14:10,0.99459,0.99112,0.99547,3002
14:15,0.99466,0.99112,0.99555,3006
14:20,0.99414,0.99043,0.99503,3007
14:25,0.99565,0.99226,0.99627,3016
14:30,0.99349,0.9898,0.99462,3014
14:35,0.99644,0.99329,0.99689,3045
14:40,0.99354,0.98964,0.99457,2985
14:45,0.99689,0.99373,0.99723,2981
14:50,0.99649,0.99336,0.99702,2991
14:55,0.99503,0.99154,0.99582,3007
15:00,0.99503,0.9916,0.99581,3089
15:05,0.99535,0.99206,0.99595,3051
15:10,0.99514,0.99183,0.99591,3037
15:15,0.99503,0.99151,0.99579,3071
15:20,0.99528,0.99193,0.99606,3067
15:25,0.99554,0.99222,0.99621,3065
15:30,0.99667,0.9935,0.99708,3120
15:35,0.99633,0.99314,0.99681,3120
15:40,0.99602,0.99278,0.99651,3120
15:45,0.99634,0.99332,0.99685,3105
15:50,0.99568,0.99254,0.99634,3111
15:55,0.98332,0.97858,0.98547,3199
