year,09:30,10:30,11:30,12:30,13:30,14:30,15:30
2009,0.99948,0.99587,0.99656,0.99938,0.99944,0.9987,0.99806
2010,0.9976,0.99688,0.99773,0.99736,0.99855,0.99845,0.99747
2011,0.99944,0.99931,0.99931,0.9971,0.99953,0.99873,0.99712
2012,0.99963,0.99853,0.99824,0.9981,0.99982,0.99918,0.99393
2013,0.99894,0.99704,0.99878,0.99751,0.99614,0.99775,0.99308
2014,0.99853,0.99869,0.99854,0.99551,0.99968,0.99706,0.99365
2015,0.99898,0.99849,0.99914,0.99946,0.99845,0.99855,0.99579
2016,0.99807,0.99843,0.99886,0.99521,0.99918,0.99725,0.99824
2017,0.9993,0.99599,0.99308,0.99743,0.99918,0.99644,0.99607
2018,0.99925,0.99822,0.99858,0.99853,0.99909,0.99824,0.99734
2019,0.99915,0.99927,0.9991,0.99921,0.9974,0.99857,0.99859
2020,0.99866,0.99892,0.99941,0.99927,0.99948,0.99938,0.99104
