year,mean_ete,n_pairs
1999,0.0024267592011286533,72.0
2000,0.002106331421929978,72.0
2001,-0.0006091515039897415,72.0
2002,-0.00022758644913530024,72.0
2003,0.0039121871191937566,72.0
2004,-0.00045295580887318935,72.0
2005,0.0034473454662883986,72.0
2006,0.001737086272719095,72.0
2007,0.0029564376192105623,72.0
2008,0.002855135413800864,72.0
2009,0.003391382607780926,72.0
2010,0.0022433538302264896,72.0
2011,-0.004483500708173166,72.0
2012,-0.0038053818048648666,72.0
2013,0.00259505522310159,72.0
2014,0.008067016819189964,72.0
2015,-0.0014143892011267327,72.0
2016,0.00563352791434494,90.0
2017,0.001746880793631617,90.0
2018,0.0032411957978014773,90.0
2019,0.0018263803440576986,110.0
2020,0.010959757159737899,110.0
2021,0.002717388722056567,110.0
2022,0.00238181928705846,110.0
2023,0.0018154578580988976,110.0
2024,0.0020065960162857764,110.0
2025,0.002570443735266153,110.0
