src,tgt,n,ete_dir,p_dir,ete_mag,p_mag,sig_dir,sig_mag,diff
XLB,XLC,1893,-0.0006210716425781014,0.8991008991008991,0.003919214675617753,0.001998001998001998,False,True,0.004540286318195854
XLB,XLE,6796,0.0003100764629890672,0.08591408591408592,0.0039925781726458465,0.000999000999000999,False,True,0.0036825017096567794
XLB,XLF,6796,-1.6118276657699026e-05,0.42957042957042957,0.0037043974617901707,0.000999000999000999,False,True,0.00372051573844787
XLB,XLI,6796,0.0002293148716286353,0.14685314685314685,0.0022650672874876578,0.000999000999000999,False,True,0.0020357524158590226
XLB,XLK,6796,-0.0001861928844956126,0.7632367632367633,0.0026349017514951363,0.000999000999000999,False,True,0.002821094635990749
XLB,XLP,6796,8.476683567485669e-05,0.27472527472527475,0.0023036788030496263,0.000999000999000999,False,True,0.0022189119673747698
XLB,XLRE,2571,0.000765456095834813,0.13086913086913088,0.0010793123051898068,0.08091908091908091,False,False,0.0003138562093549938
XLB,XLU,6796,-6.343548621124946e-06,0.3126873126873127,0.004156002978415622,0.000999000999000999,False,True,0.004162346527036747
XLB,XLV,6796,0.0002050914212556692,0.13086913086913088,0.0028866030363173846,0.000999000999000999,False,True,0.0026815116150617152
XLB,XLY,6796,0.00023338120833298797,0.0899100899100899,0.001599828609011558,0.003996003996003996,False,True,0.00136644740067857
XLC,XLB,1893,-0.0006340113596892487,0.8301698301698301,0.0009057179071058181,0.1028971028971029,False,False,0.0015397292667950668
XLC,XLE,1893,-0.00035891777007177614,0.6383616383616384,0.0034113202985282445,0.003996003996003996,False,True,0.0037702380686000206
XLC,XLF,1893,-0.00045428413417889966,0.6613386613386614,0.0032570263453780704,0.003996003996003996,False,True,0.0037113104795569703
XLC,XLI,1893,0.0027985671413937306,0.007992007992007992,0.0007448923041765964,0.14385614385614387,False,False,-0.0020536748372171343
XLC,XLK,1893,0.001369826950062308,0.04795204795204795,-0.00010576614245194963,0.42957042957042957,False,False,-0.0014755930925142578
XLC,XLP,1893,-0.0005663688013912247,0.6363636363636364,0.004708205070716114,0.001998001998001998,False,True,0.005274573872107339
XLC,XLRE,1893,0.0004422487808501559,0.17882117882117882,0.0045405796015227096,0.001998001998001998,False,True,0.004098330820672553
XLC,XLU,1893,-0.0005694914104932953,0.6993006993006993,0.0026494777288743683,0.011988011988011988,False,True,0.0032189691393676636
XLC,XLV,1893,0.0009940082728772215,0.11588411588411589,0.0029375641258730543,0.006993006993006993,False,True,0.0019435558529958328
