,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
XLB,,0.006008790701105719,0.0029760191738596115,0.002475659960043096,0.0009427517964908981,0.005912697922474935,0.0006571419160044715,0.00513187876612697,0.002149283784931108,0.002615033495926908,0.00202376671250853
XLC,-0.00013225608832454806,,0.0030271075247217368,-0.0003783834562120277,0.004388593649497341,0.002405477111463691,-0.0013183469843192188,0.004664628608237737,0.0003658575841396826,-0.0006858020521103032,0.004728612962244255
XLE,0.002293835758985132,7.012017659404485e-05,,0.0026297683330843372,0.0024641550097615197,0.004416799422266924,0.001869545420676142,0.007106127371163571,0.0011399435343988965,0.0015476805425442548,0.0009653621250379468
XLF,0.0028181709205370034,0.0038433166625778566,0.0032728181026344845,,0.0021269801049632955,0.006658136220929298,0.0021053038486662564,-6.453636682114162e-05,0.0014771459983740532,0.0017347016389081542,0.002740707235967486
XLI,0.0017563742312177125,0.002484015207950217,0.0020499441960888896,0.0012816556205585228,,0.0030009570078486534,0.0010732801642458355,0.0002977221105851316,0.0006049017672915399,-0.00018080340955154155,0.0017793119218585773
XLK,0.0005104806536254181,-0.0019119785050977101,0.0024494803515629805,0.0013156400264178077,0.003466076082197318,,0.003924363460413443,0.006342234504169106,0.00348373890728243,0.0024346576100866676,0.004339663785631439
XLP,0.0015828911735828511,0.0003856659249264708,0.0010523569095538875,0.0011405327895629923,0.000436595596529552,0.004222541947632384,,7.742664519014286e-06,0.0008707483238525879,0.000701932460640561,0.0011849755374715612
XLRE,0.0002363700523923232,8.0907645924032e-05,0.00014902027273869115,9.408657798937528e-06,0.002862854596413164,-0.0001593964536376123,0.0019403515275472423,,0.0007332989368693571,-0.00018415618412437025,0.000873610839509386
XLU,0.0006371912665236572,0.00033720334478131234,0.0012905623602692416,0.00294802991236636,0.0010301670264404623,0.0023311750353151705,0.002517807032835164,0.0014574328202709604,,0.001443853778266171,0.00215390150555133
XLV,0.0005854352541527857,0.0031450707387205776,0.0009352689878496944,0.002029257368948227,0.00021919189971147945,0.0012335471679354902,0.0010273487349497855,0.0011574235671128119,0.0018718999168243521,,0.0017646926255529133
XLY,0.0012954927124661942,-0.00023578682654529053,0.003799457755575324,0.0028746623409387786,0.001324047710833992,0.005080084867623134,0.001720760047292786,0.003860518750807533,0.0013219419263878253,0.002801525066434876,
