,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
XLB,,0.003996003996003996,0.000999000999000999,0.000999000999000999,0.05094905094905095,0.000999000999000999,0.1088911088911089,0.002997002997002997,0.001998001998001998,0.000999000999000999,0.001998001998001998
XLC,0.4165834165834166,,0.059940059940059943,0.4985014985014985,0.03396603396603397,0.1068931068931069,0.7462537462537463,0.016983016983016984,0.4515484515484515,0.6143856143856143,0.022977022977022976
XLE,0.001998001998001998,0.45054945054945056,,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.005994005994005994,0.000999000999000999,0.04295704295704296,0.01098901098901099,0.052947052947052944
XLF,0.000999000999000999,0.028971028971028972,0.000999000999000999,,0.002997002997002997,0.000999000999000999,0.000999000999000999,0.46353646353646355,0.01998001998001998,0.005994005994005994,0.000999000999000999
XLI,0.003996003996003996,0.11188811188811189,0.002997002997002997,0.017982017982017984,,0.000999000999000999,0.027972027972027972,0.4005994005994006,0.15084915084915085,0.6343656343656343,0.006993006993006993
XLK,0.17282717282717283,0.8591408591408591,0.000999000999000999,0.017982017982017984,0.000999000999000999,,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.000999000999000999,0.000999000999000999
XLP,0.008991008991008992,0.3806193806193806,0.03396603396603397,0.024975024975024976,0.17482517482517482,0.000999000999000999,,0.44555444555444557,0.05194805194805195,0.0939060939060939,0.023976023976023976
XLRE,0.3886113886113886,0.42357642357642356,0.3806193806193806,0.4255744255744256,0.03396603396603397,0.47352647352647353,0.12987012987012986,,0.26173826173826176,0.5134865134865135,0.21678321678321677
XLU,0.11788211788211789,0.31868131868131866,0.025974025974025976,0.000999000999000999,0.03996003996003996,0.001998001998001998,0.001998001998001998,0.14485514485514486,,0.016983016983016984,0.000999000999000999
XLV,0.1108891108891109,0.07192807192807193,0.060939060939060936,0.003996003996003996,0.3276723276723277,0.023976023976023976,0.03296703296703297,0.15484515484515485,0.002997002997002997,,0.004995004995004995
XLY,0.016983016983016984,0.5244755244755245,0.000999000999000999,0.000999000999000999,0.016983016983016984,0.000999000999000999,0.00999000999000999,0.013986013986013986,0.01998001998001998,0.000999000999000999,
